age,gender,category,content,answer_category,answer_content,points
6歳,女の子,哲学系,青春ってなぁに？,こども向け,中学生から高校生ぐらいかな。自分の考えが出てきて、高校生になったらアルバイトもできて自由にお金も使えるようになったりして、1番楽しいとされてる時期かな,一般的な具体的な時期と、年代の特徴と、その言葉の持つ意味のニュアンスが伝わるように、できるだけ具体的に説明したつもりてです。
6歳,女の子,日常系,何で野菜を食べなくちゃあいけないの？,こども向け,お肉ばかり食べていると栄養が足らなくなっちゃうからだよ。大きくなるためにはお肉だけでなく、野菜も食べないと大きくなるのに必要なものが足らなくなるからだよ。,栄養という言葉は理解できているようなので、なるべく分かりやすく伝えようとしました。
6歳,女の子,哲学系,どうして勉強しなきゃいけないの？,こども向け,○○（子どもの名前）は大きくなったら何になりたいの？（「パティシエ」）パティシエになるためにはまず何すればいいと思う？（「本を見てお菓子を作る練習する」）そしたら、本には漢字がたくさん書いてあるから、まず、漢字がスラスラ読めないといけないね。それと、ここに“牛乳100mlってあるけど、どれぐらいの量入れたらいいんだろう？mlっていうのは量を表す単位なの。それには算数を勉強したらいいんだよ。こういう風色々な勉強をしておくと、なりたいものができた時になりやすくなるんだよ。,質問してその回答にそって、できるだけ具体例を挙げてわかりやすいように説明しました。
4歳,女の子,日常系,なんでママは血がでる（生理）の？,こども向け,女の人は大人になったら赤ちゃんがお腹にいつきても良いように、お腹の中に赤ちゃんのベッドを準備をするからだよ。そのベッドが使わなかったら新しいベッドと交換するのに血が出てくるんだよ。,もっと簡潔に説明しても良かったのですが、なんとなくで良いのでしくみを知っていて欲しかったためこのように回答しました。
4歳,女の子,自然系,なんで保育園のバッタ死んじゃったの？,こども向け,寒くなったらバッタさんは生きていられないからだよ。寿命ってやつだよ。,自然のありのままを知っていて欲しかったため、このように回答しました。
4歳,女の子,日常系,なんで赤ちゃん泣いてるの？,こども向け,なんで泣いてるのかな？お腹すいたのかな？遊んでほしいのかな？寂しいのかな？なんだろうね。,子供自身に考えさせて、人の気持ちがわかるようになって欲しかったからです。
4歳,女の子,日常系,なんでパパお仕事行くの？,こども向け,"お仕事に行くのはお金を稼ぐためだよ。お金がないとほしいものも買えないし、ごはんも食べられないからだよ！
 
 頑張って働いて、お金がもらえるんだよ。それで美味しいご飯が食べれたり、おもちゃで遊べたりするからパパにありがとうって言わないとね！",子供に世の中の仕組みを知ってもらうと同時に、人にかんしゃすること、それを伝えることを覚えて欲しかったため。
6歳,男の子,日常系,大人は何歳になったら大人なのか,こども向け,"20歳になると成人式をして大人になったお祝いをするけど、お母さんは心が大人になっていないと大人とは、言えないと思う。人のことを思いやれたり相手のことを考えてあげられる人や自分のしたことに責任持てる人が大人だと思う。高校生でもそれができる人は、大人だと思うし、見た目が大人でもそれができない人は子供だと思うよ。あと、自分で働いて自分のお金で生活している人も大人の条件なのかもね。
 
 
 
 でもね、お母さんにもまだまだ子供の部分があって大人になれていないと思うときがあるんだ。大人になるのは難しいね。",時が経つと見た目は、成長して大人なりますが、見た目だけでは大人とは言えないということを伝えたいと思いました。心が伴って初めて大人と言えるのだということを伝えたいと考えています。そして、そこまでになるにはとても大変なんだということも伝えたいと考え自分自身のことも付け加えました。
3歳,女の子,日常系,なんでパンツはかないといけないの？,こども向け,パンツはかないとバイキンさん入ってバッチいでしょ。,パンツを履かないと汚れて病気になるので、とにかく履かせるために脅しました。
6歳,男の子,自然系,雲って何で出来てるの？,こども向け,"お水でできているらしいよ。
 
 もう少し大きくなったら一緒に見に行ってみようか？",楽しく色々な物に興味を持って欲しいと思ったからです。
6歳,女の子,日常系,どうして学校で勉強するの？,こども向け,今、どうして勉強するのかなって思ったように、色々分からないことがあるよね。そして、分からないことって、知りたいよね！学校では色々なことを勉強する時間があって、教えてくれる先生もたくさんいるから、知りたいことが色々分かるようになるんだよ。とても楽しそうでしょう？,これから小学生になる娘が、学校が楽しいところだと思えるように説明したく、勉強というのは自分が気になること、知りたいこと、まだ知らないこと色々なことが分かるようになる、そういうところだと伝えました。
6歳,女の子,哲学系,なんでたくさん勉強しないといけないの？,ママ・パパ向け,"将来の夢ができた時に、その夢を叶える近道ができるからだよ
 
 勉強した分だけ、夢が叶う確率が高くなるんだよ",あくまで自分(子ども本人)のために勉強するのであり、そのやった分だけの責任や達成感も子ども本人にあるということを伝えたつもりです。
3歳,男の子,日常系,僕だけお菓子を食べたらいけない(独占したらいけない)のはなんで？,ママ・パパ向け,美味しいっていう喜びを周りと共有できないから,普段から楽しいや悲しい、寂しい、美味しいを共有することを注力してコミュニケーション力を育むのに、独占欲は自己中心的な行動は慎むようにさせている
