age,gender,category,content,answer_category,answer_content,points
3歳,女の子,日常系,なんで「よいしょ」って言うの？,こども向け,「よいしょ」って言ったら力が入るでしょ。,とにかく子供の質問には答えるようにすると言った方針です。
3歳,女の子,自然系,どうしてトマトは赤いの,こども向け,太陽をたくさん浴びているから,子供に分かりやすい言葉で伝えました
3歳,男の子,日常系,どうして僕はこのお家にお引越ししたの？,こども向け,パパの会社の場所が○○県から△△県に変わったからだよ。こっちでもお友達ができて楽しいね。,主人の県外転勤で引っ越して数カ月たったときに聞かれました。子どももこちらの生活に慣れてお友達もできたので、引っ越して良かった点を付け加えて答えました。
3歳,男の子,自然系,花はなんでキレイなの,こども向け,みんなの心をキレイにしてくれるから,子供に夢を持って貰うように答えました
3歳,男の子,日常系,ママなんで笑ってるの？,こども向け,それは、アナタが今した事を可愛く思えたからよ。,子どもは、一生懸命オモチャを片付けようと箱へ入れますがうまく入らず試行錯誤している最中でした。それを見かねて馬鹿笑いをした親ですが、子どもは笑われている事に気がついて疑問に感じましたが、子どもが意欲的にやり遂げようとしていることは、うまく褒め言葉へと変えていくように、対応しました。
3歳,女の子,日常系,なんで大人は沢山食べるの？,こども向け,"体大きいから沢山食べれるんだよ。
 
 ○○ちゃんより沢山食べないと、沢山遊べないしご飯作らなくなっちゃうからね。",簡単な言葉遣い。
3歳,女の子,自然系,なぜチューリップは黄色なの？,こども向け,お花にたいせつな虫さんがみつけやすいようにするため。,原理をわかりやすい言葉遣いで説明しました。
3歳,女の子,日常系,自分の呑んでいるビールを指して、なんで飲めないの？,こども向け,こどもにはとても苦いからおいしくないよ。,美味しそうに飲むものを飲みたい気持ちはわかるので苦労しました。
3歳,男の子,日常系,髪の毛を切りたくない。散髪に行かないといけないの？,こども向け,髪の毛が目に入ると痛い痛いよ。,子どもでもわかる実害をアピールしました。
3歳,男の子,日常系,なんで寝ないといけないの。,こども向け,明日お友達と遊ぶときに楽しむためだよ。,子どもでもわかるようなメリットを強調しました。
3歳,女の子,自然系,お花はどうして元気がらなくなるのか,こども向け,お花とかなんでも、元気でおれる時間があって、その時間が決まってて、その中でもお花が元気でおれる時間は短いんだよ。、,短めの文章と簡単な言い回しが大切。
3歳,女の子,日常系,太ってる人を見てなんであの人あんなに大きいの？あかちゃんいるのかなー？と。笑,こども向け,違うよ?たくさん食べて元気なんだよーって答えました。,次から大きな人ではなく元気な人！って言って欲しいので。
3歳,男の子,自然系,どうして犬は卵から生まれないの。,こども向け,人間も卵から生まれないでしょう。,哺乳類といっても説明できないので、わかりやすい事例で説明しました。
3歳,男の子,科学系,どうして犬は卵から生まれないの。,こども向け,おなかの中で殻を破って大きくなってから出てくるからだよ。,摂理をさりげなく伝えてみました。
